Key,text,lang,created_at,created_day,timeonly,created_dateonly,datetime,retweet_count,coordinates,geo,place,retweeted,truncated,user_favourites_count,user_followers_count,user_following,user_friends_count,user_geo_enabled,user_listed_count,user_location,user_statuses_count,user_time_zone,user_screen_name,file,sentiment_score,sentiment,company_name
1012,Save up to $3.75 on your cheese and dairy products from Organic Valley! -  ,en,Mon Jun 26 21:50:28 ,Mon,21:50:28,6/26/2017,6/26/2017 21:50,0,,,,False,False,3072,12977,False,10223,False,178,,21882,Eastern Time (US & Canada),RealCouponDiva,jsonfile_today_organic_valley_ny.json,0.7061412930488586,positive,organic_valley
1014,"Huge LOZO Coupons Recap 6/25: Save On Clorox, Organic Valley, Mederma &amp; More - ",en,Mon Jun 26 17:30:44 ,Mon,17:30:44,6/26/2017,6/26/2017 17:30,0,,,,False,False,76,9112,False,3391,False,302,,67176,Eastern Time (US & Canada),forthemommas,jsonfile_today_organic_valley_ny.json,0.516971230506897,positive,organic_valley
1019,Traditional lifestyle explored on our way to make Arunachal an organic valley.Bridging b/w growers &amp; consumers… ,en,Mon Jun 26 04:43:27 ,Mon,4:43:27,6/26/2017,6/26/2017 4:43,0,,,"{u'full_name': u'Arunachal Pradesh, India', u'url': u'https://api.twitter.com/1.1/geo/id/2c7307a0ca152adb.json', u'country': u'India', u'place_type': u'admin', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[94.944302, 26.649359], [97.170672, 26.649359], [97.170672, 28.291664], [94.944302, 28.291664]]]}, u'contained_within': [], u'country_code': u'IN', u'attributes': {}, u'id': u'2c7307a0ca152adb', u'name': u'Arunachal Pradesh'}",False,True,38,12,False,128,True,0,"Kolkata, India",65,Pacific Time (US & Canada),DeborshiDE,jsonfile_today_organic_valley_ny.json,0.6966646313667297,neutral,organic_valley
1022,"Organic Valley, Organic Balance, Organic Milk Protein Shake, Dark Chocolate, 11 oz, 4 Pack  ",en,Sun Jun 25 23:53:13 ,Sun,23:53:13,6/25/2017,6/25/2017 23:53,0,,,,False,False,2,147,False,1017,False,1,"New York, USA",2429,Pacific Time (US & Canada),GetSlim2day,jsonfile_today_organic_valley_ny.json,0.8613958358764648,neutral,organic_valley
1023,Why don't more grocery stores in Austin carry Organic Valley soy creamer? I really hate having to make a separate trip for one item.,en,Sun Jun 25 20:15:31 ,Sun,20:15:31,6/25/2017,6/25/2017 20:15,0,,,"{u'full_name': u'Austin, TX', u'url': u'https://api.twitter.com/1.1/geo/id/c3f37afa9efcf94b.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'c3f37afa9efcf94b', u'name': u'Austin'}",False,False,4555,859,False,581,True,67,"austin, tx",17339,Central Time (US & Canada),boxingoctopus,jsonfile_today_organic_valley_ny.json,0.8561992645263672,negative,organic_valley
1028,Organic Valley Introduces Lactose Free Whole Milk &amp; Half &amp; Half ,en,Sat Jun 24 14:00:05 ,Sat,14:00:05,6/24/2017,6/24/2017 14:00,0,,,,False,False,141,20297,False,11228,False,389,Southern California,55804,Pacific Time (US & Canada),HappyMothering,jsonfile_today_organic_valley_ny.json,0.7298287749290466,neutral,organic_valley
1033,"@elbee Friendship is the brand I use when I’m in New York, Organic Valley in LA, and when I’m home in KY I use @kroger brand. Options!",en,Fri Jun 23 17:20:52 ,Fri,17:20:52,6/23/2017,6/23/2017 17:20,0,,,,False,False,16803,10216,False,479,False,225,Kentucky ✈️ NYC,48500,Eastern Time (US & Canada),BraveTart,jsonfile_today_organic_valley_ny.json,0.6849098205566406,positive,organic_valley
1035,Many positive comments 2day as @UncleMatts joins Organic Valley under @deanfoods umbrella. Diversification matters. ,en,Fri Jun 23 17:05:29 ,Fri,17:05:29,6/23/2017,6/23/2017 17:05,0,,,,False,False,9831,700,False,586,True,63,,5824,Pacific Time (US & Canada),foodsheds,jsonfile_today_organic_valley_ny.json,0.9620380401611328,positive,organic_valley
1044,"Thinking ahead to Sunday morning. Try this for a lovely meal: Alaskan Sockeye Smoked Salmon, Organic Valley cream... ",en,Thu Jun 22 18:32:38 ,Thu,18:32:38,6/22/2017,6/22/2017 18:32,0,,,,False,False,0,1232,False,313,False,58,"Kansas City, MO",5448,Central Time (US & Canada),GreenAcres_KC,jsonfile_today_organic_valley_ny.json,0.9401931166648865,positive,organic_valley
1045,"Thinking ahead to Sunday morning. Try this for a lovely meal: Echo Falls Sockeye Smoked Salmon, Organic Valley... ",en,Thu Jun 22 18:27:19 ,Thu,18:27:19,6/22/2017,6/22/2017 18:27,0,,,,False,False,2,1343,False,904,False,70,"Wichita, Kansas, Bradley Fair",24534,Central Time (US & Canada),GreenAcres_Deli,jsonfile_today_organic_valley_ny.json,0.9341812133789062,positive,organic_valley
