Key,text,lang,created_at,created_day,timeonly,created_dateonly,datetime,retweet_count,coordinates,geo,place,retweeted,truncated,user_favourites_count,user_followers_count,user_following,user_friends_count,user_geo_enabled,user_listed_count,user_location,user_statuses_count,user_time_zone,user_screen_name,file,sentiment_score,sentiment,company_name
13,"""Yoplait may have figured out how to fake authenticity as craftily as everyone else."" Hard to beat @Chobani ",en,Mon Jun 26 23:12:51 ,Mon,23:12:51,6/26/2017,6/26/2017 23:12,0,,,,False,False,743,1275,False,874,True,93,San Francisco,1815,Pacific Time (US & Canada),alongsworth,jsonfile_chobani.json,0.44841650128364563,neutral,yoplait
47,"RT @DairyFoods: Weird but true: All the PR guys at the big #yogurt companies (#Dannon, #Chobani, #Yoplait) are named Michael or Mike https:…",en,Mon Jun 26 16:56:24 ,Mon,16:56:24,6/26/2017,6/26/2017 16:56,1,,,,False,False,55,273,False,299,False,35,,8991,Eastern Time (US & Canada),Luisdalig,jsonfile_chobani.json,0.7846499681472778,neutral,yoplait
54,"Weird but true: All the PR guys at the big #yogurt companies (#Dannon, #Chobani, #Yoplait) are named Michael or Mike ",en,Mon Jun 26 16:41:53 ,Mon,16:41:53,6/26/2017,6/26/2017 16:41,1,,,,False,False,5,6482,False,267,False,227,"Troy, Mi",5196,Central Time (US & Canada),DairyFoods,jsonfile_chobani.json,0.7178865075111389,neutral,yoplait
58,RT @mspbjReilly: Can glass-jarred @Yoplait break Chobani's lock on 'authentic' yogurt? Or will consumers see through the tactic? $GIS https…,en,Mon Jun 26 15:26:54 ,Mon,15:26:54,6/26/2017,6/26/2017 15:26,1,,,,False,False,140,34270,False,1401,False,993,"Minneapolis and St. Paul, MN",49756,Central Time (US & Canada),MSPBJnews,jsonfile_chobani.json,0.6848996877670288,neutral,yoplait
59,Can glass-jarred @Yoplait break Chobani's lock on 'authentic' yogurt? Or will consumers see through the tactic?… ,en,Mon Jun 26 15:16:03 ,Mon,15:16:03,6/26/2017,6/26/2017 15:16,1,,,,False,True,1469,3193,False,866,True,149,"Minneapolis, MN",6318,Central Time (US & Canada),mspbjReilly,jsonfile_chobani.json,0.6179535984992981,negative,yoplait
68,To create a sense of being genuine is essential to success. Chobani wins that brand battle  #Yoplait #marketing,en,Mon Jun 26 12:20:10 ,Mon,12:20:10,6/26/2017,6/26/2017 12:20,0,,,,False,False,59,1533,False,1417,False,164,Massachusetts,1559,Eastern Time (US & Canada),ngildea,jsonfile_chobani.json,0.7828860282897949,positive,yoplait
137,"RT @DairyFoods: Weird but true: All the PR guys at the big #yogurt companies (#Dannon, #Chobani, #Yoplait) are named Michael or Mike https:…",en,Mon Jun 26 16:56:24 ,Mon,16:56:24,6/26/2017,6/26/2017 16:56,1,,,,False,False,55,273,False,299,False,35,,8991,Eastern Time (US & Canada),Luisdalig,jsonfile_today_dannon_ny.json,0.7846499681472778,neutral,yoplait
138,"Weird but true: All the PR guys at the big #yogurt companies (#Dannon, #Chobani, #Yoplait) are named Michael or Mike ",en,Mon Jun 26 16:41:53 ,Mon,16:41:53,6/26/2017,6/26/2017 16:41,1,,,,False,False,5,6482,False,267,False,227,"Troy, Mi",5196,Central Time (US & Canada),DairyFoods,jsonfile_today_dannon_ny.json,0.7178865075111389,neutral,yoplait
818,"To me it's like Chobani and Astros and oikos, Yoplait and liberté",en,Thu Jun 22 02:40:22 ,Thu,2:40:22,6/22/2017,6/22/2017 2:40,0,,,,False,False,51774,937,False,365,False,16,Edmonton ,28429,Mountain Time (US & Canada),SpannerCraig,jsonfile_today_liberte_ny.json,0.8574118614196777,neutral,yoplait
2673,"Yoplait Just Launched A ""French Yogurt."" It's Called ""Oui.""  #yummy #foodie #delicious ",en,Mon Jun 26 23:58:02 ,Mon,23:58:02,6/24/2017,6/24/2017 23:58,0,,,,False,False,2003,4336,False,2311,True,219,"Seattle, WA",32732,Eastern Time (US & Canada),MorningTempest,jsonfile_today_yoplait_ny.json,0.9539207220077515,positive,yoplait
