Key,text,lang,created_at,created_day,timeonly,created_dateonly,datetime,retweet_count,coordinates,geo,place,retweeted,truncated,user_favourites_count,user_followers_count,user_following,user_friends_count,user_geo_enabled,user_listed_count,user_location,user_statuses_count,user_time_zone,user_screen_name,file,sentiment_score,sentiment
1105,@OnPointeJ @StilettoRoyalty I like Siggi's as well. Noosa's is awesome too.,en,Thu Jun 22 15:38:49 ,Thu,15:38:49,6/22/2017,6/22/2017 15:38,0,,,,False,False,24,475,False,45,False,9,USA,26366,Pacific Time (US & Canada),JulieAfterHours,jsonfile_today_siggi_ny.json,0.9830154776573181,positive
3165,Chobani. Fage. Noosa. Aardvark. THERE ARE TOO MANY YOGURT BRANDS IT'S ENOUGH ALREADY,en,Tue Jul 04 17:57:18 ,Tue,17:57:18,6/26/2017,6/26/2017 17:57,0,,,,False,False,18412,1646,False,747,True,28,"Los Angeles, CA",6834,Eastern Time (US & Canada),jessforaminute,jsonfile_chobani.json,0.4922583997249603,neutral
6914,Okay but what if they put yogurt in those lil apple sauce squeeze pouches? @Yoplait ?? @noosayoghurt ?? @Oikos ????,en,Wed Jun 28 16:39:05 ,Wed,16:39:05,3/7/2017,7/3/2017 16:39,0,,,,False,False,12388,169,False,286,False,11,,15613,Mountain Time (US & Canada),kelseylarissa,jsonfile_yoplait.json,0.8458991050720215,neutral
7151,Chobani. Fage. Noosa. Aardvark. THERE ARE TOO MANY YOGURT BRANDS IT'S ENOUGH ALREADY,en,Tue Jul 04 17:57:18 ,Tue,17:57:18,6/28/2017,6/28/2017 17:57,0,,,,False,False,18412,1646,False,747,True,28,"Los Angeles, CA",6834,Eastern Time (US & Canada),jessforaminute,jsonfile_chobani.json,0.4922583997249603,neutral
7361,i never thought i'd have a favorite yogurt but ummmmm noosa is the only kind that exists for me IT TASTES LIKE DESSERT,en,Thu Jul 06 04:33:32 ,Thu,4:33:32,3/7/2017,7/3/2017 4:33,0,,,,False,False,13869,412,False,228,True,10,southern california,17510,Pacific Time (US & Canada),trashysnacks,jsonfile_noosa yogurt.json,0.8895657658576965,positive
7362,I extremely do not understand the Noosa yogurt ad but I think that just means I'm intelligent.,en,Wed Jul 05 02:38:11 ,Wed,2:38:11,3/7/2017,7/3/2017 2:38,0,,,,False,False,10830,1109,False,1336,True,35,"Brooklyn, New York",41835,Eastern Time (US & Canada),ggsacks,jsonfile_noosa yogurt.json,0.6834371089935303,negative
7363,Chobani. Fage. Noosa. Aardvark. THERE ARE TOO MANY YOGURT BRANDS IT'S ENOUGH ALREADY,en,Tue Jul 04 17:57:18 ,Tue,17:57:18,2/7/2017,7/2/2017 17:57,0,,,,False,False,18441,1645,False,749,True,26,"Los Angeles, CA",6843,Eastern Time (US & Canada),jessforaminute,jsonfile_noosa yogurt.json,0.4922583997249603,neutral
7364,"Holy fuck balls, I love Noosa yogurt. Like two of them is enough to fill you up for the whole day.",en,Tue Jul 04 13:37:59 ,Tue,13:37:59,2/7/2017,7/2/2017 13:37,0,,,,False,False,21667,340,False,183,True,21,Rapture,25464,Pacific Time (US & Canada),fruhgeelay,jsonfile_noosa yogurt.json,0.9531673789024353,positive
7365,@itsbl0ndie you need to try Noosa yogurt. It's not Greek but has a TON of protein! It's not sour at all. ,en,Tue Jul 04 11:37:37 ,Tue,11:37:37,2/7/2017,7/2/2017 11:37,0,,,,False,False,9525,319,False,363,False,1,,24614,Eastern Time (US & Canada),xoxoemilyrose,jsonfile_noosa yogurt.json,0.916144847869873,positive
7367,EAT from the Archives: Snack Time with @noosayoghurt  #healthyeating,en,Mon Jul 03 19:55:06 ,Mon,19:55:06,2/7/2017,7/2/2017 19:55,0,,,,False,False,687,7525,False,428,True,82,"Salt Lake City, UT",8074,Mountain Time (US & Canada),aubrylybbert,jsonfile_noosa yogurt.json,0.7156862020492554,neutral
7368,@chooseagoose Is it Noosa yogurt?,en,Mon Jul 03 14:30:20 ,Mon,14:30:20,2/7/2017,7/2/2017 14:30,0,,,,False,False,514,28,False,56,False,0,,322,Pacific Time (US & Canada),fightnmong00ses,jsonfile_noosa yogurt.json,0.9078712463378906,neutral
7369,"Life is short, have no #fear, try new flavors of noosayoghurt #noosa #noosayoghurt #yogurt… ",en,Mon Jul 03 02:34:08 ,Mon,2:34:08,2/7/2017,7/2/2017 2:34,0,,,,False,False,1276,283,False,742,True,10,"Lincoln, NE",3381,America/Chicago,standanLive,jsonfile_noosa yogurt.json,0.8268480896949768,positive
7370,Y'all couldn't have come up with a better name for this yogurt? #noosa ,en,Sun Jul 02 17:28:05 ,Sun,17:28:05,2/7/2017,7/2/2017 17:28,0,,,,False,False,10088,712,False,763,True,54,,42711,Central Time (US & Canada),Lovey_CM,jsonfile_noosa yogurt.json,0.7324203252792358,negative
