Key,text,lang,created_at,created_day,timeonly,created_dateonly,datetime,retweet_count,coordinates,geo,place,retweeted,truncated,user_favourites_count,user_followers_count,user_following,user_friends_count,user_geo_enabled,user_listed_count,user_location,user_statuses_count,user_time_zone,user_screen_name,file,sentiment_score,sentiment
164,"Get hip wth fermentation.  ""Oui"" goes up against the Greek gods and goddesses of yogurt. ",en,Mon Jun 26 20:04:26 ,Mon,20:04:26,6/26/2017,6/26/2017 20:04,0,,,,False,False,41,108,False,285,True,9,"NYC, Chicago, DC, Montreal",465,Central Time (US & Canada),nasermu,jsonfile_today_greek_gods_ny.json,0.6910871863365173,neutral
402,"Greek Gods Yogurt mission is ""to deliver authentic Greek-style products that embody those flavors found on a... ",en,Thu Jun 22 23:20:07 ,Thu,23:20:07,6/22/2017,6/22/2017 23:20,0,,,,False,False,29,3023,False,419,False,7,"Stanton, CA",1221,Pacific Time (US & Canada),SocialSampling,jsonfile_today_greek_gods_ny.json,0.5106269121170044,positive
420,"Greek Gods Yogurt $1.79 at @Safeway after deal, save 55%!

#Safeway #Coupon #SafewayDeals… ",en,Thu Jun 22 17:19:04 ,Thu,17:19:04,6/22/2017,6/22/2017 17:19,0,,,,False,True,371,832,False,1350,False,82,Colorado,3471,Mountain Time (US & Canada),SuperSafeway,jsonfile_today_greek_gods_ny.json,0.8275188207626343,positive
2786,"Get hip wth fermentation.  ""Oui"" goes up against the Greek gods and goddesses of yogurt. ",en,Mon Jun 26 20:04:26 ,Mon,20:04:26,6/23/2017,6/23/2017 20:04,0,,,,False,False,41,107,False,285,True,9,"NYC, Chicago, DC, Montreal",465,Central Time (US & Canada),nasermu,jsonfile_today_yoplait_ny.json,0.6910871863365173,neutral
4090,Do you know how people binge eat ice cream when they're emotional. That's how I am but with honey vanilla The Greek Gods Greek Yogurt💛,en,Mon Jul 03 14:57:22 ,Mon,14:57:22,6/28/2017,6/28/2017 14:57,0,,,,False,False,769,28,False,16,True,0,Jupiter,111,Central Time (US & Canada),desteniemarie,jsonfile_greek gods.json,0.650826632976532,positive
4160,@LiberteUSA I still purchase Liberte but now it's not the only brand I purchase. Greek Gods is way better than new formula,en,Sun Jul 02 05:59:11 ,Sun,5:59:11,3/7/2017,7/3/2017 5:59,0,,,,False,False,8044,2413,False,426,False,159,NY,59707,Central Time (US & Canada),nastywmnlabmngr,jsonfile_greek gods.json,0.7859349846839905,positive
4611,@LiberteUSA I still purchase Liberte but now it's not the only brand I purchase. Greek Gods is way better than new formula,en,Sun Jul 02 05:59:11 ,Sun,5:59:11,6/28/2017,6/28/2017 5:59,0,,,,False,False,8044,2413,False,426,False,159,NY,59707,Central Time (US & Canada),nastywmnlabmngr,jsonfile_liberte.json,0.7859349846839905,positive
10791,I'm such a fiend for my s'mores chobani and my strawberry honey Greek gods yogurt. Like yes. All day. Every meal.,en,Tue Jul 25 23:03:43 ,Tue,23:03:43,7/25/2017,7/25/2017 23:03,0,,,,False,False,9245,285,False,564,False,1,MN,27668,Central Time (US & Canada),AyeStoney,jsonfile_chobani.json,0.954481303691864,positive
13001,"RT @nasermu: Get hip wth fermentation.  ""Oui"" goes up against the Greek gods and goddesses of yogurt. ",en,Tue Jul 25 09:25:42 ,Tue,9:25:42,7/25/2017,7/25/2017 9:25,1,,,,False,False,200,4,False,39,False,0,,200,,MonikaMckay8,jsonfile_yoplait.json,0.7981798648834229,neutral
17032,"(please read previous tweet) @browncowyogurt @FAGEUSA @Stonyfield, @LiberteUSA @YoCrunch @PowerfulYogurt @Wallabyyogurrt @TheGreekGods",en,Tue Aug 08 20:35:21 ,Tue,20:35:21,8/8/2017,8/8/2017 20:35,0,,,,False,False,89,1776,False,710,True,146,"Indiana (via Columbus, OH)",39440,Eastern Time (US & Canada),sweetbob,jsonfile_Stonyfield.json,0.8170653581619263,neutral
